Posición,Precio,Volumen,Hora
DLR102021,113.0,1000,14:52:25
DLR062021,98.85,25,14:51:54
WTI052021,62.9,9,14:51:47
WTI072021,62.5,2,14:51:42
DLR072021,101.8,1000,14:51:42
DLR122021,122.5,100,14:51:34
DLR092021,108.8,1000,14:51:32
DLR122021,122.5,1000,14:51:32
DLR082021,105.2,1,14:51:32
DLR082021,105.2,199,14:51:32
DLR082021,105.2,1000,14:51:27
DLR122021,122.45,345,14:51:23
DLR102021,112.75,51,14:51:22
DLR112021,117.0,1000,14:51:20
DLR102021,112.75,5000,14:51:18
GGAL042021,117.9,4,14:51:14
DLR062021,98.87,30,14:51:06
YPFD042021,593.0,1,14:50:18
YPFD062021,630.7,1,14:50:08
DLR122021,122.3,20,14:50:06
DLR102021,112.65,500,14:49:02
GGAL042021,117.9,2,14:48:57
GGAL042021,117.9,1,14:48:57
DLR102021,112.6,90,14:48:52
DLR072021,101.75,1000,14:48:43
DLR072021,101.74,1000,14:48:08
DLR042021,93.54,1000,14:48:08
DLR042021,93.54,1000,14:48:08
RFX20042021,64910.0,1,14:48:08
GGAL042021,117.9,1,14:48:01
GGAL042021,117.9,1,14:47:58
DLR062021,98.89,1,14:47:50
RFX20042021,64910.0,1,14:47:48
DLR112021,116.5,53,14:47:38
GGAL042021,117.9,8,14:47:38
DLR112021,116.5,100,14:47:22
DLR042021,93.54,330,14:47:17
DLR112021,116.5,100,14:47:12
DLR042021,93.54,2000,14:47:09
DLR042021,93.54,1000,14:47:09
RFX20042021,64910.0,1,14:46:55
DLR062021,98.85,35,14:46:46
GGAL042021,117.95,5,14:46:45
ORO052021,1778.0,1,14:46:40
WTI052021,62.96,1,14:46:38
WTI052021,62.79,1,14:45:50
WTI052021,62.79,1,14:45:50
RFX20042021,64915.0,3,14:45:38
RFX20042021,64915.0,1,14:45:38
RFX20042021,64910.0,2,14:45:38
ORO052021,1785.0,1,14:45:31
DLR052021,96.11,1000,14:45:18
DLR052021,96.1,1000,14:45:17
DLR052021,96.1,1000,14:44:33
DLR052021,96.1,1000,14:44:33
DLR122021,122.3,30,14:44:30
GGAL042021,117.95,1,14:43:59
GGAL062021,123.8,1,14:43:59
DLR072021,101.7,25,14:43:50
DLR072021,101.7,99,14:43:50
RFX20042021,64960.0,2,14:43:48
DLR062021,98.81,60,14:43:39
DLR112021,116.5,30,14:43:21
PAMP042021,83.85,5,14:43:21
DLR072021,101.67,25,14:43:12
DLR072021,101.69,2000,14:43:07
DLR072021,101.69,1000,14:43:07
DLR112021,116.5,499,14:42:50
DLR102021,112.56,3000,14:42:49
DLR052021,96.1,26,14:42:47
DLR102021,112.5,200,14:42:46
DLR052021,96.09,3000,14:42:38
DLR052021,96.1,1000,14:42:32
DLR052021,96.1,1000,14:42:32
DLR112021,116.5,1,14:42:29
DLR052021,96.09,6000,14:42:26
